frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,sph,hit_ratio
102,61.4826,61.126496,50.0,225.55008,121.49828,2073600,0.35405925,38.104847,397.04837,0.095970295
103,60.2287,59.850496,49.99974,225.53969,121.495735,2073600,0.35405958,38.104153,397.03516,0.09597174
104,61.9518,61.59984,49.998825,225.5454,121.5038,2073600,0.35405985,38.103474,397.04803,0.09596692
105,61.4927,61.12496,49.999523,225.56386,121.51941,2073600,0.35406017,38.102596,397.0828,0.09595631
106,59.7343,59.38816,49.999355,225.58377,121.53161,2073600,0.3540605,38.10241,397.11475,0.09594811
107,59.4898,59.151808,49.999733,225.59741,121.53966,2073600,0.3540608,38.102226,397.13678,0.095942326
108,61.0874,60.690112,49.999462,225.61842,121.553795,2073600,0.35406107,38.101936,397.1717,0.09593316
109,60.8323,60.488576,50.0,225.6297,121.562004,2073600,0.3540614,38.101746,397.1917,0.09592786
110,61.1471,60.803104,49.999733,225.63779,121.56791,2073600,0.35406166,38.10134,397.2054,0.09592351
111,60.6448,60.281248,49.99981,225.6475,121.57825,2073600,0.35406196,38.10078,397.22556,0.09591725
112,60.373,60.025632,49.99922,225.63364,121.57519,2073600,0.35406223,38.10006,397.20807,0.095919654
113,59.9785,59.632224,49.999714,225.63406,121.577286,2073600,0.35406253,38.099777,397.21106,0.09591821
114,60.3245,59.936768,49.99945,225.64552,121.586365,2073600,0.35406283,38.099995,397.23132,0.09591387
115,61.5889,61.235456,49.999443,225.64426,121.58986,2073600,0.35406315,38.09944,397.23358,0.09591194
116,59.94,59.53872,50.0,225.64632,121.58963,2073600,0.35406345,38.09967,397.23593,0.09591194
117,61.4542,61.087552,49.99903,225.63953,121.58971,2073600,0.35406375,38.0997,397.22827,0.09591387
118,61.0489,60.719104,49.99989,225.65201,121.60199,2073600,0.35406402,38.0989,397.25388,0.09590567
119,62.5425,62.205728,49.99978,225.65198,121.60487,2073600,0.35406432,38.09859,397.25665,0.09590422
120,61.9228,61.554688,49.999943,225.65999,121.61052,2073600,0.35406464,38.09857,397.27045,0.09590085
121,59.9612,59.60608,49.999245,225.65587,121.61586,2073600,0.35406497,38.09786,397.271,0.09589892
122,60.6126,60.25584,49.999046,225.65916,121.62315,2073600,0.35406527,38.096745,397.28137,0.095893614
123,61.6154,61.198336,49.999542,225.66422,121.62696,2073600,0.35406557,38.096497,397.2907,0.09589072
124,60.9214,60.580256,49.99959,225.68132,121.640175,2073600,0.35406592,38.096336,397.32108,0.095883004
125,61.6204,61.290496,49.999226,225.68884,121.64522,2073600,0.3540662,38.095978,397.3333,0.095879145
126,61.2892,60.928736,49.9996,225.69684,121.65515,2073600,0.35406655,38.095818,397.3516,0.095874324
127,58.9558,58.617472,49.99964,225.69444,121.65471,2073600,0.35406685,38.095547,397.34882,0.095874324
128,63.5517,63.17664,49.999924,225.69699,121.65973,2073600,0.35406715,38.09515,397.35663,0.09587143
129,60.0657,59.710368,49.99978,225.68208,121.65147,2073600,0.35406744,38.095215,397.3333,0.095877215
130,61.842,61.422048,49.99942,225.68263,121.65629,2073600,0.35406777,38.094734,397.33835,0.09587481
131,61.208,60.839936,49.999825,225.69493,121.66484,2073600,0.3540681,38.094856,397.35962,0.09586999
132,60.3706,59.9784,49.99995,225.69597,121.66821,2073600,0.3540684,38.094334,397.36414,0.095867574
133,59.3366,58.997632,49.999714,225.70053,121.67659,2073600,0.3540687,38.09383,397.37683,0.09586323
134,60.3074,59.952544,49.99965,225.71416,121.68602,2073600,0.354069,38.09354,397.39984,0.095856965
135,59.3772,59.018112,49.99962,225.71446,121.68677,2073600,0.35406926,38.093063,397.40085,0.09585552
136,60.5662,60.237728,49.999584,225.71648,121.69229,2073600,0.35406956,38.092632,397.40836,0.09585262
137,60.3779,59.942912,49.99936,225.71674,121.69338,2073600,0.35406986,38.092167,397.4095,0.095851175
138,60.9962,60.65152,49.999702,225.71881,121.69986,2073600,0.35407016,38.09206,397.41837,0.09584877
139,61.1184,60.712512,49.999794,225.72072,121.70136,2073600,0.35407045,38.09182,397.42188,0.095847316
140,58.8604,58.496768,49.999886,225.7343,121.707344,2073600,0.35407075,38.09179,397.44153,0.095842496
141,61.3819,60.961568,50.0,225.73555,121.711655,2073600,0.35407102,38.091373,397.4472,0.09584008
142,61.4169,61.038176,49.999672,225.73448,121.713356,2073600,0.35407132,38.091213,397.4475,0.095839605
143,60.2216,59.838464,50.0,225.73724,121.723076,2073600,0.35407162,38.09014,397.46033,0.095833816
144,61.1953,60.849152,49.99991,225.73686,121.72802,2073600,0.35407192,38.08942,397.46478,0.095830925
145,59.9648,59.592704,50.0,225.74251,121.7301,2073600,0.3540722,38.089592,397.4726,0.09582947
146,59.025,58.585088,49.999752,225.75491,121.739044,2073600,0.35407248,38.089314,397.4937,0.09582369
147,63.3208,62.911328,49.999264,225.74847,121.7385,2073600,0.35407278,38.08898,397.48624,0.09582465
148,62.7387,62.369984,49.999905,225.74564,121.742134,2073600,0.35407308,38.088543,397.48767,0.095823206
149,60.8105,60.45488,49.99929,225.7479,121.746056,2073600,0.35407338,38.0885,397.49326,0.09582176
150,61.4739,61.105184,49.999134,225.74805,121.7489,2073600,0.35407367,38.088196,397.4961,0.095820315
151,60.4687,60.091936,49.99948,225.74803,121.75378,2073600,0.35407397,38.08793,397.50128,0.095818385
152,61.3809,61.061344,49.999744,225.74454,121.756165,2073600,0.35407427,38.087273,397.50046,0.09581694
153,62.2029,61.83936,49.999744,225.74034,121.75642,2073600,0.3540746,38.0869,397.4965,0.09581694
154,60.6504,60.252672,49.999626,225.75053,121.76231,2073600,0.3540749,38.086895,397.51245,0.09581308
155,60.5321,60.036128,49.999954,225.75754,121.772835,2073600,0.3540752,38.086304,397.53033,0.09580729
156,62.8161,62.409376,49.999542,225.7591,121.77694,2073600,0.35407546,38.086037,397.53558,0.09580536
157,64.4818,64.115136,49.999443,225.7496,121.772675,2073600,0.3540758,38.08567,397.52173,0.095807776
158,61.0212,60.593536,49.999546,225.75133,121.776566,2073600,0.35407612,38.085068,397.52747,0.09580488
159,60.927,60.561408,50.0,225.75708,121.78133,2073600,0.3540764,38.084396,397.5384,0.09580054
160,59.8344,59.47216,49.999508,225.75777,121.78572,2073600,0.35407668,38.084064,397.54297,0.09579861
161,62.5705,62.092,49.999653,225.7593,121.78943,2073600,0.35407698,38.08343,397.54837,0.09579572
162,66.1213,63.916032,49.999443,225.75443,121.79125,2073600,0.3540773,38.083122,397.54514,0.09579572
163,68.1269,67.530752,49.99983,225.7651,121.80136,2073600,0.3540776,38.082848,397.56628,0.09578993
164,61.3446,60.925568,49.999813,225.76627,121.8067,2073600,0.35407797,38.082508,397.57278,0.09578752
165,61.5617,61.058336,49.999466,225.75774,121.80484,2073600,0.35407826,38.082058,397.56204,0.09578896
166,61.4361,61.024128,49.999485,225.76633,121.814735,2073600,0.35407853,38.081146,397.58054,0.09578221
167,61.6794,61.1968,49.99965,225.76756,121.81635,2073600,0.35407883,38.080856,397.58356,0.09578077
168,61.8553,61.536672,49.9995,225.75829,121.80978,2073600,0.35407913,38.08067,397.56757,0.09578414
169,62.1968,61.784064,49.99936,225.75943,121.81611,2073600,0.35407943,38.079834,397.5749,0.09578028
170,59.7103,59.241024,49.99973,225.76819,121.82271,2073600,0.35407978,38.079617,397.59064,0.09577595
171,61.7464,61.394848,49.999657,225.7768,121.830475,2073600,0.35408008,38.07926,397.60693,0.09577112
172,61.4779,61.089472,49.999493,225.78769,121.83806,2073600,0.35408038,38.079098,397.62524,0.0957663
173,60.2618,59.926048,49.999035,225.78583,121.8402,2073600,0.35408062,38.078697,397.62506,0.09576534
174,60.3608,59.972416,49.99929,225.79256,121.84434,2073600,0.35408095,38.078613,397.63617,0.09576244
175,61.562,61.178656,49.999123,225.79419,121.84856,2073600,0.35408124,38.078583,397.64185,0.09576099
176,61.4013,61.084352,49.999165,225.78757,121.84814,2073600,0.3540815,38.078293,397.6349,0.09576196
177,61.3191,60.970784,49.999245,225.79019,121.8518,2073600,0.35408184,38.078136,397.64124,0.09576003
178,60.7481,60.373952,49.99973,225.79462,121.85496,2073600,0.35408214,38.07776,397.6493,0.095757134
179,61.5846,61.184,49.999454,225.80373,121.86154,2073600,0.35408247,38.077698,397.66473,0.09575328
180,61.2222,60.815296,49.999714,225.79626,121.86126,2073600,0.35408276,38.07737,397.65726,0.09575424
181,60.0771,59.692704,49.999546,225.79385,121.86604,2073600,0.3540831,38.076622,397.65942,0.09575183
182,60.0187,59.668288,49.99969,225.79356,121.86825,2073600,0.3540834,38.076626,397.6615,0.09575135
