frame,cpu_ms,gpu_ms
434,170.1801,169.17648
435,163.6552,162.39504
436,157.3667,156.195904
437,163.625599,162.541504
438,157.861401,156.37104
439,168.978599,168.062976
440,172.1788,170.897216
441,165.1813,164.419584
442,165.387501,164.08976
443,161.1741,160.35472
444,161.1942,159.825152
445,160.064,159.402368
446,159.5639,158.103648
447,160.797999,159.306112
448,163.125601,161.834752
449,163.1545,162.3112
450,153.1599,151.890688
451,165.2815,164.053664
452,159.6219,158.281888
453,166.840199,165.797696
454,169.467801,168.21248
455,167.4702,166.56208
456,160.2242,159.240192
457,159.9909,158.53936
458,155.6258,154.292224
459,155.356799,154.337152
460,163.365401,162.11408
461,157.218,156.127232
462,166.635299,165.698304
463,158.442201,156.830208
464,164.7869,163.657376
465,167.0899,166.311712
466,157.3354,156.352768
467,158.5907,157.10128
468,158.9499,157.530784
469,167.190599,166.224864
470,163.320101,161.992
471,162.771199,161.969856
472,159.679701,158.356832
473,166.1008,164.649056
474,167.124699,166.422656
475,155.595701,154.000192
476,166.949999,165.652448
477,161.810701,160.38912
478,157.830299,157.118592
479,163.515401,162.520672
480,161.4235,159.856256
481,165.3639,164.3616
482,164.862099,163.979392
483,158.426601,157.469056
484,160.540199,159.082432
485,157.469801,156.194304
486,166.99,165.224064
487,173.7563,172.581472
488,166.0237,165.185984
489,168.1519,167.100416
490,169.1008,168.389184
491,168.6576,166.93344
492,164.4741,163.688544
493,169.7666,168.205312
494,170.1469,169.3696
495,169.624699,168.57152
496,167.956901,167.207872
497,166.2868,164.661568
498,162.240299,161.354464
499,168.3725,167.07584
500,169.319701,168.460288
501,164.087,162.68448
502,159.7075,158.983552
503,161.784,160.222624
504,160.9273,159.350784
505,172.531,171.236896
506,164.6746,163.90848
507,157.065,155.58512
508,170.607,169.371648
509,162.490399,161.780064
510,151.793901,150.518624
511,159.0268,158.00176
512,161.7387,160.148032
513,169.4543,168.172288
514,159.140999,158.285248
515,160.113601,159.275008
516,164.9826,163.512416
517,156.5403,155.277184
518,159.4349,157.640704
519,165.8363,164.599808
520,166.5933,165.814272
521,166.5476,165.464064
522,152.5558,151.841472
523,164.2697,162.876
524,160.7457,159.28944
525,165.8219,164.470624
526,165.725499,164.930816
527,164.6721,163.655712
528,164.097601,163.34064
529,187.2118,177.298016
530,172.617399,172.074272
531,160.692901,159.930368
532,172.5607,171.386432
533,164.7408,163.84
534,164.754699,163.580448
535,172.8238,171.99312
536,170.783801,170.055616
537,161.6863,160.622976
538,164.4992,163.809088
539,160.8481,159.156672
540,163.687199,161.988736
541,164.3663,163.602656
542,159.669901,158.174752
543,158.8602,157.570176
544,163.93,162.056032
545,164.6128,163.230912
546,165.9092,164.788096
547,167.3786,166.237504
548,167.9741,167.186144
549,165.5842,164.612736
550,168.776399,168.031584
551,163.8479,162.26304
552,162.657701,161.782912
553,165.3941,164.000928
554,160.673,159.379456
555,172.8351,171.878048
556,164.1907,163.254432
557,166.127,165.090784
558,159.554399,158.797824
559,159.2778,158.325888
560,166.542401,165.021696
561,161.3321,159.86128
562,160.140399,159.20704
563,159.392901,158.230624
564,164.6387,163.575808
565,160.6251,159.444992
566,163.7271,162.783744
567,159.8551,158.493376
568,161.6641,160.439584
569,160.6527,159.574016
570,165.7561,164.660544
571,170.5997,169.385984
