frame,cpu_ms,gpu_ms,volume,shadow,sdf,pixels,distance,spp,sph,hit_ratio
76,18.0146,17.407616,29.993996,120.74097,106.64919,1440000,0.3830421,28.547298,257.38416,0.110913195
77,18.7663,17.925984,29.9936,120.7376,106.648056,1440000,0.38304186,28.547113,257.37927,0.11091458
78,18.5183,17.615136,29.993551,120.734474,106.64846,1440000,0.3830416,28.546806,257.3765,0.11091458
79,18.0383,17.168096,29.994295,120.734055,106.65143,1440000,0.3830413,28.546457,257.37976,0.11091181
80,17.4841,16.709024,29.99459,120.72987,106.652374,1440000,0.38304105,28.545952,257.37683,0.11091111
81,17.3811,16.758784,29.994791,120.72803,106.65317,1440000,0.38304076,28.545677,257.37598,0.110910416
82,17.4432,16.86592,29.995028,120.72392,106.65418,1440000,0.38304052,28.545185,257.37314,0.11090972
83,18.6127,17.87904,29.995247,120.72231,106.654976,1440000,0.38304028,28.544939,257.37253,0.11090903
84,18.0188,17.421504,29.994791,120.71714,106.653275,1440000,0.38303998,28.54466,257.3652,0.11091111
85,17.8054,17.241728,29.994308,120.71037,106.65234,1440000,0.38303974,28.54411,257.35703,0.1109125
86,18.272,17.704896,29.994322,120.70918,106.65322,1440000,0.38303947,28.5439,257.35672,0.11091181
87,17.9429,17.375296,29.993965,120.70485,106.65262,1440000,0.38303924,28.543491,257.35144,0.1109125
88,17.48,16.910912,29.993176,120.699455,106.65026,1440000,0.38303894,28.543259,257.3429,0.11091528
89,17.5133,16.94464,29.992819,120.69382,106.64936,1440000,0.3830387,28.54285,257.336,0.11091667
90,17.4269,16.798144,29.992624,120.69013,106.64897,1440000,0.38303846,28.542557,257.33173,0.11091736
91,17.6438,17.078304,29.993069,120.68966,106.65068,1440000,0.38303816,28.542385,257.3334,0.110915974
92,17.9559,17.398912,29.993752,120.68737,106.65316,1440000,0.38303792,28.541946,257.3343,0.11091389
93,17.7985,17.170432,29.993132,120.68137,106.64993,1440000,0.38303766,28.541748,257.32443,0.11091736
94,18.1086,17.471008,29.992838,120.67598,106.64817,1440000,0.3830374,28.541456,257.317,0.110919446
95,17.5655,16.886016,29.993093,120.67403,106.64848,1440000,0.38303715,28.541302,257.3156,0.110919446
96,17.5742,16.927328,29.992638,120.66638,106.646034,1440000,0.38303685,28.540848,257.30505,0.110922225
97,19.5253,18.582944,29.993458,120.66361,106.6483,1440000,0.38303664,28.540348,257.30536,0.11092014
98,17.9199,17.270784,29.993626,120.66068,106.64855,1440000,0.38303635,28.54007,257.30286,0.11092014
99,17.6381,17.041152,29.99354,120.65634,106.647545,1440000,0.3830361,28.539825,257.29742,0.110921524
100,17.6404,16.9472,29.993652,120.65266,106.64697,1440000,0.3830358,28.539543,257.29327,0.110922225
101,18.4427,17.182304,29.99399,120.65112,106.647285,1440000,0.3830356,28.539444,257.2924,0.110922225
102,17.9331,16.820352,29.993916,120.64657,106.646355,1440000,0.38303527,28.539185,257.28683,0.11092361
103,17.4558,16.887808,29.99402,120.64318,106.64615,1440000,0.38303503,28.538979,257.28336,0.1109243
104,17.344,16.772224,29.993946,120.63764,106.645065,1440000,0.38303483,28.538591,257.27667,0.1109257
105,17.6655,17.002496,29.993526,120.630714,106.64265,1440000,0.38303453,28.53822,257.26688,0.110928476
106,17.374,16.73856,29.993683,120.62802,106.643,1440000,0.3830343,28.53798,257.2647,0.110928476
107,17.4336,16.85088,29.993715,120.6264,106.64327,1440000,0.38303405,28.537836,257.2634,0.110928476
108,17.6444,16.878432,29.993984,120.622154,106.644165,1440000,0.38303378,28.537313,257.2603,0.110927776
109,17.7968,16.982016,29.994102,120.61872,106.64458,1440000,0.38303354,28.536991,257.2574,0.110927776
110,18.156,17.405952,29.993908,120.61521,106.64407,1440000,0.38303328,28.536705,257.25317,0.110928476
111,18.0873,17.016448,29.993263,120.60867,106.6417,1440000,0.38303304,28.536358,257.24362,0.11093125
112,18.3429,17.134336,29.993063,120.60715,106.64064,1440000,0.38303274,28.536407,257.24084,0.11093264
113,17.2735,16.700928,29.993408,120.60462,106.641785,1440000,0.3830325,28.536114,257.2398,0.11093195
114,17.3432,16.778176,29.99312,120.599335,106.64068,1440000,0.38303223,28.535728,257.23312,0.11093333
115,17.3507,16.764992,29.993258,120.596756,106.64163,1440000,0.383032,28.535385,257.23163,0.11093264
116,18.0775,17.387456,29.992983,120.592735,106.64127,1440000,0.38303176,28.535048,257.227,0.11093333
117,18.8557,18.098592,29.993277,120.5897,106.643036,1440000,0.3830315,28.53458,257.226,0.11093195
118,17.4398,16.83424,29.992914,120.58587,106.642685,1440000,0.38303125,28.534256,257.22147,0.11093264
119,17.5704,16.968768,29.99215,120.58115,106.64084,1440000,0.38303098,28.533981,257.21414,0.11093472
120,17.5048,16.95264,29.991957,120.57657,106.64089,1440000,0.3830307,28.533455,257.2094,0.11093472
121,17.4871,16.906144,29.991869,120.57365,106.64119,1440000,0.3830305,28.533154,257.20673,0.11093472
122,17.343,16.754688,29.991894,120.572685,106.64219,1440000,0.3830302,28.532982,257.20676,0.11093403
123,17.676,16.723168,29.992237,120.57155,106.64459,1440000,0.38302997,28.532625,257.20837,0.11093195
124,17.6917,16.942592,29.992758,120.570366,106.64684,1440000,0.38302976,28.532265,257.20996,0.11092986
125,17.846,17.004384,29.992926,120.56825,106.64766,1440000,0.38302946,28.531963,257.20883,0.11092917
126,17.4125,16.85872,29.992432,120.561935,106.64584,1440000,0.38302922,28.53154,257.2002,0.11093125
127,17.5679,16.978944,29.992569,120.56096,106.64663,1440000,0.38302898,28.531357,257.20016,0.110930555
128,17.5779,17.00864,29.99267,120.55945,106.64757,1440000,0.3830287,28.531126,257.1997,0.11092986
129,17.6784,17.005472,29.993158,120.55802,106.64983,1440000,0.38302848,28.530737,257.20102,0.110927776
130,17.6218,16.952896,29.99377,120.55705,106.65215,1440000,0.38302824,28.530418,257.20297,0.1109257
131,17.5153,16.908288,29.994465,120.55712,106.65494,1440000,0.38302797,28.530098,257.20654,0.11092292
132,18.0339,17.008864,29.994333,120.55491,106.65448,1440000,0.38302773,28.529966,257.20374,0.11092361
133,18.1489,17.559136,29.994184,120.55161,106.654,1440000,0.38302743,28.529709,257.1998,0.1109243
134,18.305,17.295808,29.993776,120.54646,106.65292,1440000,0.38302723,28.529331,257.19318,0.1109257
135,18.253,17.657856,29.993502,120.54276,106.65209,1440000,0.38302693,28.529156,257.18835,0.11092708
136,18.3073,17.79552,29.99327,120.53781,106.651184,1440000,0.3830267,28.528835,257.18225,0.110928476
137,17.8329,17.254592,29.992851,120.533844,106.64956,1440000,0.38302642,28.528704,257.17627,0.110930555
138,17.7685,17.183744,29.99233,120.528496,106.64726,1440000,0.38302618,28.528513,257.1681,0.11093333
139,17.3026,16.70576,29.993233,120.529175,106.65008,1440000,0.38302588,28.528286,257.1725,0.110930555
140,17.7372,16.910336,29.993038,120.523445,106.64923,1440000,0.38302568,28.527893,257.1657,0.11093195
141,18.3691,17.484096,29.993307,120.52124,106.64989,1440000,0.3830254,28.527573,257.16443,0.11093125
142,18.0045,17.282048,29.993828,120.519585,106.65165,1440000,0.38302517,28.527285,257.16507,0.11092986
143,18.713,17.526784,29.993765,120.515785,106.65126,1440000,0.38302493,28.52699,257.16083,0.110930555
144,17.9438,17.15728,29.99295,120.50751,106.6474,1440000,0.3830246,28.526627,257.14786,0.11093472
145,17.4607,16.889888,29.993046,120.50309,106.646416,1440000,0.38302436,28.526394,257.14255,0.11093611
146,17.77,17.21344,29.992945,120.499306,106.645355,1440000,0.38302413,28.526203,257.1376,0.1109375
147,17.6748,17.097664,29.992294,120.49208,106.64239,1440000,0.38302392,28.52589,257.12677,0.11094097
148,17.7091,17.13888,29.992163,120.48779,106.64119,1440000,0.38302362,28.525627,257.12115,0.110942364
149,17.5667,16.998368,29.992039,120.48388,106.64087,1440000,0.3830234,28.525322,257.1168,0.11094306
150,17.2752,16.736256,29.992514,120.48231,106.642365,1440000,0.38302314,28.52501,257.1172,0.11094166
